OrderID,OrderDate,OrderMonth,FiscalQuarter,CustomerName,CustomerSegment,Industry,Country,Region,SalesRep,ProductCategory,ProductLine,ProductName,Quantity,UnitPrice,DiscountPct,UnitCost,SalesChannel,OrderSource,OrderStatus,FulfillmentRegion,PriorityTier,ContractType,DeploymentModel,SupportPlan,SalesMotion,ContractTermMonths,IsRenewal
850001,2026-01-01,2026-01,FY26-Q1,Alpine Manufacturing,Enterprise,Manufacturing,United States,North America,Parker Diaz,Data Integration,Pipelines,API Ingestion Hub,25,3900.00,12,2155.00,Marketplace,Inbound,Provisioned,US East,Priority,Subscription,Azure Managed,Premier,Net New,24,No
850002,2026-01-02,2026-01,FY26-Q1,Bluebird Retail,MidMarket,Retail,Canada,North America,Reese Turner,Analytics,Operations,Operations Command Dashboard,27,7425.00,10,3940.00,Marketplace,Inbound,Active,US West,Standard,Subscription,Hybrid,Advanced,Expansion,24,No
850003,2026-01-03,2026-01,FY26-Q1,Canyon Health,Enterprise,Healthcare,United States,North America,Taylor Brooks,Automation,Workflows,Workflow Orchestrator,32,7300.00,8,3945.00,Renewal Desk,Inbound,Provisioned,US West,Priority,Subscription,Hybrid,Premier,Renewal,12,Yes
850004,2026-01-04,2026-01,FY26-Q1,Delta Logistics,MidMarket,Logistics,Germany,Europe,Avery Cole,Managed Services,Backup,Recovery Assurance Service,2,10475.00,0,6280.00,Marketplace,Inbound,Invoiced,Europe West,Standard,Managed Services,Hybrid,Advanced,Net New,12,No
850005,2026-01-05,2026-01,FY26-Q1,Evergreen Schools,Public Sector,Education,United States,North America,Quinn Foster,Data Integration,Pipelines,API Ingestion Hub,50,3650.00,12,2060.00,Direct,Outbound,Provisioned,US Central,Priority,Subscription,Customer Managed,Premier,Expansion,24,No
850006,2026-01-06,2026-01,FY26-Q1,Frontier Energy,Enterprise,Energy,United Kingdom,Europe,Morgan Patel,Analytics,Operations,Operations Command Dashboard,9,7375.00,13,3955.00,Renewal Desk,Upsell,Renewal Pending,Europe West,Priority,Subscription,Azure Managed,Premier,Renewal,36,Yes
850007,2026-01-07,2026-01,FY26-Q1,Granite Aerospace,Enterprise,Aerospace,United States,North America,Skyler Bennett,Automation,Workflows,Workflow Orchestrator,18,7150.00,14,3875.00,Direct,Outbound,Active,US East,Priority,Subscription,Azure Managed,Premier,Net New,12,No
850008,2026-01-08,2026-01,FY26-Q1,Harbor Foods,SMB,Consumer Goods,Brazil,Latin America,Jordan Reyes,Managed Services,Backup,Recovery Assurance Service,1,10725.00,15,6345.00,Renewal Desk,Inbound,Renewal Pending,Latin America South,Priority,Managed Services,Hybrid,Premier,Renewal,12,Yes
850009,2026-01-09,2026-01,FY26-Q1,Ion Medical,Enterprise,Healthcare,Singapore,Asia Pacific,Casey Singh,Data Integration,Pipelines,API Ingestion Hub,26,4150.00,17,2265.00,Partner,Event,Provisioned,Asia Pacific South,Priority,Subscription,Hybrid,Premier,Net New,12,No
850010,2026-01-10,2026-01,FY26-Q1,Juniper Telecom,MidMarket,Telecommunications,Australia,Asia Pacific,Logan Chen,Analytics,Operations,Operations Command Dashboard,37,6975.00,15,3680.00,Partner,Referral,Invoiced,Asia Pacific South,Standard,Subscription,Customer Managed,Essentials,Expansion,12,No
